Product_Name,Brand,Battery_Life_in_HRS,Drivers,Microphone_ENC,Additional_Features,Discount%,Selling_Price,Rating
Boult Astra,Boult,48,ENC,,Quad Mic ENC,84,799,4.1
Aroma NB140,Aroma,55,Deep Bass,,Deep Bass,77,899,3.9
Boult Z40,Boult,10,ENC,,Quad Mic ENC,62,"1,299",4.1
PTron Basspods,PTron,40,ANC ENC,ANC,ANC,58,"1,649",3.8
Boult Astra,Boult,48,ENC,,Quad Mic ENC,72,"1,499",4.1
TOWST YO-TWS,TOWST,35,ANC,ANC,ANC,77,449,4
Boult Astra,Boult,48,ENC,,Quad Mic ENC,76,"1,199",3.5
SONY WF-C700N,SONY,20,ANC,ANC,ANC,,,5
PTron Basspods,PTron,40,ANC ENC,ANC,ANC,86,459,3.5
Boult Astra,Boult,48,ENC,,Quad Mic ENC,75,999,
Aroma NB140,Aroma,55,Deep Bass,,Deep Bass,80,599,
Boult Z40,Boult,10,ENC,,Quad Mic ENC,84,799,
PTron Basspods,PTron,40,ANC ENC,ANC,ANC,78,"1,099",3.9
Boult Astra,Boult,48,ENC,,Quad Mic ENC,62,"1,299",3.7
TOWST YO-TWS,TOWST,35,ANC,ANC,ANC,76,599,3.9
Boult Astra,Boult,48,ENC,,Quad Mic ENC,83,899,3.5
SONY WF-C700N,SONY,20,ANC,ANC,ANC,84,799,3.9
PTron Basspods,PTron,40,ANC ENC,ANC,ANC,69,399,3.5
Boult Astra,Boult,48,ENC,,Quad Mic ENC,65,"1,208",
Aroma NB140,Aroma,55,Deep Bass,,Deep Bass,86,459,
Boult Z40,Boult,10,ENC,,Quad Mic ENC,75,999,
PTron Basspods,PTron,40,ANC ENC,ANC,ANC,75,699,3.7
Boult Astra,Boult,48,ENC,,Quad Mic ENC,84,799,4.7
TOWST YO-TWS,TOWST,35,ANC,ANC,ANC,66,"1,349",4
Boult Astra,Boult,48,ENC,,Quad Mic ENC,60,"1,399",4.1
SONY WF-C700N,SONY,20,ANC,ANC,ANC,83,499,3.9
PTron Basspods,PTron,40,ANC ENC,ANC,ANC,,,3.5
Boult Astra,Boult,48,ENC,,Quad Mic ENC,,,4
Aroma NB140,Aroma,55,Deep Bass,,Deep Bass,69,399,4
Boult Z40,Boult,10,ENC,,Quad Mic ENC,65,"1,208",4
PTron Basspods,PTron,40,ANC ENC,ANC,ANC,86,415,5
Boult Astra,Boult,48,ENC,,Quad Mic ENC,75,999,3.5
TOWST YO-TWS,TOWST,35,ANC,ANC,ANC,62,"1,499",5
Boult Astra,Boult,48,ENC,,Quad Mic ENC,72,"1,499",3.8
SONY WF-C700N,SONY,20,ANC,ANC,ANC,77,449,
PTron Basspods,PTron,40,ANC ENC,ANC,ANC,71,999,4.1
Boult Astra,Boult,48,ENC,,Quad Mic ENC,76,"1,199",4.1
Aroma NB140,Aroma,55,Deep Bass,,Deep Bass,,,3.9
Boult Z40,Boult,10,ENC,,Quad Mic ENC,,,3.9
PTron Basspods,PTron,40,ANC ENC,ANC,ANC,,,3.8
Boult Astra,Boult,48,ENC,,Quad Mic ENC,65,"1,208",3.8
TOWST YO-TWS,TOWST,35,ANC,ANC,ANC,38,"7,990",4.1
Boult Astra,Boult,48,ENC,,Quad Mic ENC,62,"1,299",
SONY WF-C700N,SONY,20,ANC,ANC,ANC,76,599,
PTron Basspods,PTron,40,ANC ENC,ANC,ANC,77,899,3.8
Boult Astra,Boult,48,ENC,,Quad Mic ENC,83,899,3.5
Aroma NB140,Aroma,55,Deep Bass,,Deep Bass,71,999,4.1
Boult Z40,Boult,10,ENC,,Quad Mic ENC,76,"1,199",4
PTron Basspods,PTron,40,ANC ENC,ANC,ANC,81,999,3.7
Boult Astra,Boult,48,ENC,,Quad Mic ENC,,,3.9
TOWST YO-TWS,TOWST,35,ANC,ANC,ANC,68,439,4
Boult Astra,Boult,48,ENC,,Quad Mic ENC,84,799,4
SONY WF-C700N,SONY,20,ANC,ANC,ANC,66,"1,349",4
PTron Basspods,PTron,40,ANC ENC,ANC,ANC,58,699,5
Boult Astra,Boult,48,ENC,,Quad Mic ENC,60,"1,399",1
Aroma NB140,Aroma,55,Deep Bass,,Deep Bass,77,899,4
Boult Z40,Boult,10,ENC,,Quad Mic ENC,83,899,5
PTron Basspods,PTron,40,ANC ENC,ANC,ANC,75,899,5
Boult Astra,Boult,48,ENC,,Quad Mic ENC,76,"1,199",3.7
TOWST YO-TWS,TOWST,35,ANC,ANC,ANC,,,
Boult Astra,Boult,48,ENC,,Quad Mic ENC,75,999,4.1
SONY WF-C700N,SONY,20,ANC,ANC,ANC,62,"1,499",3.9
PTron Basspods,PTron,40,ANC ENC,ANC,ANC,80,493,
Boult Astra,Boult,48,ENC,,Quad Mic ENC,72,"1,499",4.1
Aroma NB140,Aroma,55,Deep Bass,,Deep Bass,58,699,
Boult Z40,Boult,10,ENC,,Quad Mic ENC,60,"1,399",4.1
PTron Basspods,PTron,40,ANC ENC,ANC,ANC,85,449,3.9
Boult Astra,Boult,48,ENC,,Quad Mic ENC,83,899,
TOWST YO-TWS,TOWST,35,ANC,ANC,ANC,84,799,
Boult Astra,Boult,48,ENC,,Quad Mic ENC,65,"1,208",4.1
SONY WF-C700N,SONY,20,ANC,ANC,ANC,38,"7,990",4.1
PTron Basspods,PTron,40,ANC ENC,ANC,ANC,77,899,4.1
Boult Astra,Boult,48,ENC,,Quad Mic ENC,62,"1,299",3.7
Aroma NB140,Aroma,55,Deep Bass,,Deep Bass,80,493,4.1
Boult Z40,Boult,10,ENC,,Quad Mic ENC,72,"1,499",4
PTron Basspods,PTron,40,ANC ENC,ANC,ANC,77,899,3.9
Boult Astra,Boult,48,ENC,,Quad Mic ENC,60,"1,399",3.8
TOWST YO-TWS,TOWST,35,ANC,ANC,ANC,83,499,3.7
Boult Astra,Boult,48,ENC,,Quad Mic ENC,,,5
SONY WF-C700N,SONY,20,ANC,ANC,ANC,68,439,4
PTron Basspods,PTron,40,ANC ENC,ANC,ANC,80,599,4.1
Boult Astra,Boult,48,ENC,,Quad Mic ENC,84,799,4.7
Aroma NB140,Aroma,55,Deep Bass,,Deep Bass,77,899,
Boult Z40,Boult,10,ENC,,Quad Mic ENC,62,"1,299",
PTron Basspods,PTron,40,ANC ENC,ANC,ANC,58,"1,649",
Boult Astra,Boult,48,ENC,,Quad Mic ENC,72,"1,499",3.7
TOWST YO-TWS,TOWST,35,ANC,ANC,ANC,77,449,3.8
Boult Astra,Boult,48,ENC,,Quad Mic ENC,76,"1,199",3.5
SONY WF-C700N,SONY,20,ANC,ANC,ANC,,,
PTron Basspods,PTron,40,ANC ENC,ANC,ANC,86,459,
Boult Astra,Boult,48,ENC,,Quad Mic ENC,75,999,3.5
Aroma NB140,Aroma,55,Deep Bass,,Deep Bass,80,599,
Boult Z40,Boult,10,ENC,,Quad Mic ENC,84,799,
PTron Basspods,PTron,40,ANC ENC,ANC,ANC,78,"1,099",
Boult Astra,Boult,48,ENC,,Quad Mic ENC,62,"1,299",
TOWST YO-TWS,TOWST,35,ANC,ANC,ANC,76,599,3.5
Boult Astra,Boult,48,ENC,,Quad Mic ENC,83,899,3.7
SONY WF-C700N,SONY,20,ANC,ANC,ANC,84,799,4.1
PTron Basspods,PTron,40,ANC ENC,ANC,ANC,69,399,3.5
Boult Astra,Boult,48,ENC,,Quad Mic ENC,65,"1,208",3.8
Aroma NB140,Aroma,55,Deep Bass,,Deep Bass,86,459,4
Boult Z40,Boult,10,ENC,,Quad Mic ENC,75,999,3.7
PTron Basspods,PTron,40,ANC ENC,ANC,ANC,75,699,4
Boult Astra,Boult,48,ENC,,Quad Mic ENC,84,799,3.9
TOWST YO-TWS,TOWST,35,ANC,ANC,ANC,66,"1,349",3.5
Boult Astra,Boult,48,ENC,,Quad Mic ENC,60,"1,399",2
SONY WF-C700N,SONY,20,ANC,ANC,ANC,83,499,
PTron Basspods,PTron,40,ANC ENC,ANC,ANC,,,3.7
Boult Astra,Boult,48,ENC,,Quad Mic ENC,,,3.9
Aroma NB140,Aroma,55,Deep Bass,,Deep Bass,69,399,4.1
Boult Z40,Boult,10,ENC,,Quad Mic ENC,65,"1,208",3.8
PTron Basspods,PTron,40,ANC ENC,ANC,ANC,86,415,3.9
Boult Astra,Boult,48,ENC,,Quad Mic ENC,75,999,3.9
TOWST YO-TWS,TOWST,35,ANC,ANC,ANC,62,"1,499",3.5
Boult Astra,Boult,48,ENC,,Quad Mic ENC,72,"1,499",3.8
SONY WF-C700N,SONY,20,ANC,ANC,ANC,77,449,
PTron Basspods,PTron,40,ANC ENC,ANC,ANC,71,999,
Boult Astra,Boult,48,ENC,,Quad Mic ENC,76,"1,199",3.7
Aroma NB140,Aroma,55,Deep Bass,,Deep Bass,,,3.5
Boult Z40,Boult,10,ENC,,Quad Mic ENC,,,3.5
PTron Basspods,PTron,40,ANC ENC,ANC,ANC,,,4.1
Boult Astra,Boult,48,ENC,,Quad Mic ENC,65,"1,208",4
TOWST YO-TWS,TOWST,35,ANC,ANC,ANC,38,"7,990",4.1
Boult Astra,Boult,48,ENC,,Quad Mic ENC,62,"1,299",4.1
SONY WF-C700N,SONY,20,ANC,ANC,ANC,76,599,4
PTron Basspods,PTron,40,ANC ENC,ANC,ANC,77,899,3.8
Boult Astra,Boult,48,ENC,,Quad Mic ENC,83,899,5
Aroma NB140,Aroma,55,Deep Bass,,Deep Bass,71,999,1
Boult Z40,Boult,10,ENC,,Quad Mic ENC,76,"1,199",3.5
PTron Basspods,PTron,40,ANC ENC,ANC,ANC,81,999,4
Boult Astra,Boult,48,ENC,,Quad Mic ENC,,,1
TOWST YO-TWS,TOWST,35,ANC,ANC,ANC,68,439,3.8
Boult Astra,Boult,48,ENC,,Quad Mic ENC,84,799,
SONY WF-C700N,SONY,20,ANC,ANC,ANC,66,"1,349",4.1
PTron Basspods,PTron,40,ANC ENC,ANC,ANC,58,699,4.1
Boult Astra,Boult,48,ENC,,Quad Mic ENC,60,"1,399",3.8
Aroma NB140,Aroma,55,Deep Bass,,Deep Bass,77,899,4.1
Boult Z40,Boult,10,ENC,,Quad Mic ENC,83,899,3.5
PTron Basspods,PTron,40,ANC ENC,ANC,ANC,75,899,
Boult Astra,Boult,48,ENC,,Quad Mic ENC,76,"1,199",
TOWST YO-TWS,TOWST,35,ANC,ANC,ANC,,,
Boult Astra,Boult,48,ENC,,Quad Mic ENC,75,999,
SONY WF-C700N,SONY,20,ANC,ANC,ANC,62,"1,499",3.5
PTron Basspods,PTron,40,ANC ENC,ANC,ANC,80,493,4
Boult Astra,Boult,48,ENC,,Quad Mic ENC,72,"1,499",3.7
Aroma NB140,Aroma,55,Deep Bass,,Deep Bass,58,699,3.7
Boult Z40,Boult,10,ENC,,Quad Mic ENC,60,"1,399",4.1
PTron Basspods,PTron,40,ANC ENC,ANC,ANC,85,449,4.1
Boult Astra,Boult,48,ENC,,Quad Mic ENC,83,899,3.9
TOWST YO-TWS,TOWST,35,ANC,ANC,ANC,84,799,4
Boult Astra,Boult,48,ENC,,Quad Mic ENC,65,"1,208",4
SONY WF-C700N,SONY,20,ANC,ANC,ANC,38,"7,990",1
PTron Basspods,PTron,40,ANC ENC,ANC,ANC,77,899,4
Boult Astra,Boult,48,ENC,,Quad Mic ENC,62,"1,299",5
Aroma NB140,Aroma,55,Deep Bass,,Deep Bass,80,493,4.7
Boult Z40,Boult,10,ENC,,Quad Mic ENC,72,"1,499",3.8
PTron Basspods,PTron,40,ANC ENC,ANC,ANC,77,899,
Boult Astra,Boult,48,ENC,,Quad Mic ENC,60,"1,399",4.1
TOWST YO-TWS,TOWST,35,ANC,ANC,ANC,83,499,4.1
Boult Astra,Boult,48,ENC,,Quad Mic ENC,,,3.9
SONY WF-C700N,SONY,20,ANC,ANC,ANC,68,439,4.1
PTron Basspods,PTron,40,ANC ENC,ANC,ANC,80,599,
Boult Astra,Boult,48,ENC,,Quad Mic ENC,84,799,3.9
Aroma NB140,Aroma,55,Deep Bass,,Deep Bass,77,899,3.5
Boult Z40,Boult,10,ENC,,Quad Mic ENC,62,"1,299",
PTron Basspods,PTron,40,ANC ENC,ANC,ANC,58,"1,649",
Boult Astra,Boult,48,ENC,,Quad Mic ENC,72,"1,499",
TOWST YO-TWS,TOWST,35,ANC,ANC,ANC,77,449,4.1
Boult Astra,Boult,48,ENC,,Quad Mic ENC,76,"1,199",4
SONY WF-C700N,SONY,20,ANC,ANC,ANC,,,3.7
PTron Basspods,PTron,40,ANC ENC,ANC,ANC,86,459,3.9
Boult Astra,Boult,48,ENC,,Quad Mic ENC,75,999,3.9
Aroma NB140,Aroma,55,Deep Bass,,Deep Bass,80,599,3.8
Boult Z40,Boult,10,ENC,,Quad Mic ENC,84,799,4
PTron Basspods,PTron,40,ANC ENC,ANC,ANC,78,"1,099",4
Boult Astra,Boult,48,ENC,,Quad Mic ENC,62,"1,299",4
TOWST YO-TWS,TOWST,35,ANC,ANC,ANC,76,599,5
Boult Astra,Boult,48,ENC,,Quad Mic ENC,83,899,5
SONY WF-C700N,SONY,20,ANC,ANC,ANC,84,799,4.7
PTron Basspods,PTron,40,ANC ENC,ANC,ANC,69,399,
Boult Astra,Boult,48,ENC,,Quad Mic ENC,65,"1,208",
Aroma NB140,Aroma,55,Deep Bass,,Deep Bass,86,459,3.9
Boult Z40,Boult,10,ENC,,Quad Mic ENC,75,999,4.1
PTron Basspods,PTron,40,ANC ENC,ANC,ANC,75,699,4.1
Boult Astra,Boult,48,ENC,,Quad Mic ENC,84,799,4.1
TOWST YO-TWS,TOWST,35,ANC,ANC,ANC,66,"1,349",3.5
Boult Astra,Boult,48,ENC,,Quad Mic ENC,60,"1,399",4.1
SONY WF-C700N,SONY,20,ANC,ANC,ANC,83,499,3.5
PTron Basspods,PTron,40,ANC ENC,ANC,ANC,,,
Boult Astra,Boult,48,ENC,,Quad Mic ENC,,,
Aroma NB140,Aroma,55,Deep Bass,,Deep Bass,69,399,3.7
Boult Z40,Boult,10,ENC,,Quad Mic ENC,65,"1,208",4.1
PTron Basspods,PTron,40,ANC ENC,ANC,ANC,86,415,3.5
Boult Astra,Boult,48,ENC,,Quad Mic ENC,75,999,4
TOWST YO-TWS,TOWST,35,ANC,ANC,ANC,62,"1,499",3.7
Boult Astra,Boult,48,ENC,,Quad Mic ENC,72,"1,499",4
SONY WF-C700N,SONY,20,ANC,ANC,ANC,77,449,3.8
PTron Basspods,PTron,40,ANC ENC,ANC,ANC,71,999,4.1
Boult Astra,Boult,48,ENC,,Quad Mic ENC,76,"1,199",4
Aroma NB140,Aroma,55,Deep Bass,,Deep Bass,,,5
Boult Z40,Boult,10,ENC,,Quad Mic ENC,,,5
PTron Basspods,PTron,40,ANC ENC,ANC,ANC,,,1
Boult Astra,Boult,48,ENC,,Quad Mic ENC,65,"1,208",4
TOWST YO-TWS,TOWST,35,ANC,ANC,ANC,38,"7,990",2
Boult Astra,Boult,48,ENC,,Quad Mic ENC,62,"1,299",
SONY WF-C700N,SONY,20,ANC,ANC,ANC,76,599,3.9
PTron Basspods,PTron,40,ANC ENC,ANC,ANC,77,899,
Boult Astra,Boult,48,ENC,,Quad Mic ENC,83,899,3.9
Aroma NB140,Aroma,55,Deep Bass,,Deep Bass,71,999,3.8
Boult Z40,Boult,10,ENC,,Quad Mic ENC,76,"1,199",3.5
PTron Basspods,PTron,40,ANC ENC,ANC,ANC,81,999,4.1
Boult Astra,Boult,48,ENC,,Quad Mic ENC,,,
TOWST YO-TWS,TOWST,35,ANC,ANC,ANC,68,439,3.8
Boult Astra,Boult,48,ENC,,Quad Mic ENC,84,799,
SONY WF-C700N,SONY,20,ANC,ANC,ANC,66,"1,349",3.7
PTron Basspods,PTron,40,ANC ENC,ANC,ANC,58,699,4
Boult Astra,Boult,48,ENC,,Quad Mic ENC,60,"1,399",4.1
Aroma NB140,Aroma,55,Deep Bass,,Deep Bass,77,899,3.7
Boult Z40,Boult,10,ENC,,Quad Mic ENC,83,899,3.7
PTron Basspods,PTron,40,ANC ENC,ANC,ANC,75,899,3.7
Boult Astra,Boult,48,ENC,,Quad Mic ENC,76,"1,199",4.1
TOWST YO-TWS,TOWST,35,ANC,ANC,ANC,,,4.1
Boult Astra,Boult,48,ENC,,Quad Mic ENC,75,999,3.7
SONY WF-C700N,SONY,20,ANC,ANC,ANC,62,"1,499",5
PTron Basspods,PTron,40,ANC ENC,ANC,ANC,80,493,1
Boult Astra,Boult,48,ENC,,Quad Mic ENC,72,"1,499",4
Aroma NB140,Aroma,55,Deep Bass,,Deep Bass,58,699,5
Boult Z40,Boult,10,ENC,,Quad Mic ENC,60,"1,399",2
PTron Basspods,PTron,40,ANC ENC,ANC,ANC,85,449,4.7
Boult Astra,Boult,48,ENC,,Quad Mic ENC,83,899,3.5
TOWST YO-TWS,TOWST,35,ANC,ANC,ANC,84,799,
Boult Astra,Boult,48,ENC,,Quad Mic ENC,65,"1,208",3.8
SONY WF-C700N,SONY,20,ANC,ANC,ANC,38,"7,990",3.8
PTron Basspods,PTron,40,ANC ENC,ANC,ANC,77,899,3.7
Boult Astra,Boult,48,ENC,,Quad Mic ENC,62,"1,299",
Aroma NB140,Aroma,55,Deep Bass,,Deep Bass,80,493,3.9
Boult Z40,Boult,10,ENC,,Quad Mic ENC,72,"1,499",3.8
PTron Basspods,PTron,40,ANC ENC,ANC,ANC,77,899,3.5
Boult Astra,Boult,48,ENC,,Quad Mic ENC,60,"1,399",
TOWST YO-TWS,TOWST,35,ANC,ANC,ANC,83,499,
Boult Astra,Boult,48,ENC,,Quad Mic ENC,,,3.5
SONY WF-C700N,SONY,20,ANC,ANC,ANC,68,439,3.7
PTron Basspods,PTron,40,ANC ENC,ANC,ANC,80,599,3.8
Boult Astra,Boult,48,ENC,,Quad Mic ENC,84,799,4.1
Aroma NB140,Aroma,55,Deep Bass,,Deep Bass,77,899,3.9
Boult Z40,Boult,10,ENC,,Quad Mic ENC,62,"1,299",4.1
PTron Basspods,PTron,40,ANC ENC,ANC,ANC,58,"1,649",3.8
Boult Astra,Boult,48,ENC,,Quad Mic ENC,72,"1,499",4.1
TOWST YO-TWS,TOWST,35,ANC,ANC,ANC,77,449,4
Boult Astra,Boult,48,ENC,,Quad Mic ENC,76,"1,199",3.5
SONY WF-C700N,SONY,20,ANC,ANC,ANC,,,5
PTron Basspods,PTron,40,ANC ENC,ANC,ANC,86,459,3.5
Boult Astra,Boult,48,ENC,,Quad Mic ENC,75,999,
Aroma NB140,Aroma,55,Deep Bass,,Deep Bass,80,599,
Boult Z40,Boult,10,ENC,,Quad Mic ENC,84,799,
PTron Basspods,PTron,40,ANC ENC,ANC,ANC,78,"1,099",3.9
Boult Astra,Boult,48,ENC,,Quad Mic ENC,62,"1,299",3.7
TOWST YO-TWS,TOWST,35,ANC,ANC,ANC,76,599,3.9
Boult Astra,Boult,48,ENC,,Quad Mic ENC,83,899,3.5
SONY WF-C700N,SONY,20,ANC,ANC,ANC,84,799,3.9
PTron Basspods,PTron,40,ANC ENC,ANC,ANC,69,399,3.5
Boult Astra,Boult,48,ENC,,Quad Mic ENC,65,"1,208",
Aroma NB140,Aroma,55,Deep Bass,,Deep Bass,86,459,
Boult Z40,Boult,10,ENC,,Quad Mic ENC,75,999,
PTron Basspods,PTron,40,ANC ENC,ANC,ANC,75,699,3.7
Boult Astra,Boult,48,ENC,,Quad Mic ENC,84,799,4.7
TOWST YO-TWS,TOWST,35,ANC,ANC,ANC,66,"1,349",4
Boult Astra,Boult,48,ENC,,Quad Mic ENC,60,"1,399",4.1
SONY WF-C700N,SONY,20,ANC,ANC,ANC,83,499,3.9
PTron Basspods,PTron,40,ANC ENC,ANC,ANC,,,3.5
Boult Astra,Boult,48,ENC,,Quad Mic ENC,,,4
Aroma NB140,Aroma,55,Deep Bass,,Deep Bass,69,399,4
Boult Z40,Boult,10,ENC,,Quad Mic ENC,65,"1,208",4
PTron Basspods,PTron,40,ANC ENC,ANC,ANC,86,415,5
Boult Astra,Boult,48,ENC,,Quad Mic ENC,75,999,3.5
TOWST YO-TWS,TOWST,35,ANC,ANC,ANC,62,"1,499",5
Boult Astra,Boult,48,ENC,,Quad Mic ENC,72,"1,499",3.8
SONY WF-C700N,SONY,20,ANC,ANC,ANC,77,449,
PTron Basspods,PTron,40,ANC ENC,ANC,ANC,71,999,4.1
Boult Astra,Boult,48,ENC,,Quad Mic ENC,76,"1,199",4.1
Aroma NB140,Aroma,55,Deep Bass,,Deep Bass,,,3.9
Boult Z40,Boult,10,ENC,,Quad Mic ENC,,,3.9
PTron Basspods,PTron,40,ANC ENC,ANC,ANC,,,3.8
Boult Astra,Boult,48,ENC,,Quad Mic ENC,65,"1,208",3.8
TOWST YO-TWS,TOWST,35,ANC,ANC,ANC,38,"7,990",4.1
Boult Astra,Boult,48,ENC,,Quad Mic ENC,62,"1,299",
SONY WF-C700N,SONY,20,ANC,ANC,ANC,76,599,
PTron Basspods,PTron,40,ANC ENC,ANC,ANC,77,899,3.8
Boult Astra,Boult,48,ENC,,Quad Mic ENC,83,899,3.5
Aroma NB140,Aroma,55,Deep Bass,,Deep Bass,71,999,4.1
Boult Z40,Boult,10,ENC,,Quad Mic ENC,76,"1,199",4
PTron Basspods,PTron,40,ANC ENC,ANC,ANC,81,999,3.7
Boult Astra,Boult,48,ENC,,Quad Mic ENC,,,3.9
TOWST YO-TWS,TOWST,35,ANC,ANC,ANC,68,439,4
Boult Astra,Boult,48,ENC,,Quad Mic ENC,84,799,4
SONY WF-C700N,SONY,20,ANC,ANC,ANC,66,"1,349",4
PTron Basspods,PTron,40,ANC ENC,ANC,ANC,58,699,5
Boult Astra,Boult,48,ENC,,Quad Mic ENC,60,"1,399",1
Aroma NB140,Aroma,55,Deep Bass,,Deep Bass,77,899,4
Boult Z40,Boult,10,ENC,,Quad Mic ENC,83,899,5
PTron Basspods,PTron,40,ANC ENC,ANC,ANC,75,899,5
Boult Astra,Boult,48,ENC,,Quad Mic ENC,76,"1,199",3.7
TOWST YO-TWS,TOWST,35,ANC,ANC,ANC,,,
Boult Astra,Boult,48,ENC,,Quad Mic ENC,75,999,4.1
SONY WF-C700N,SONY,20,ANC,ANC,ANC,62,"1,499",3.9
PTron Basspods,PTron,40,ANC ENC,ANC,ANC,80,493,
Boult Astra,Boult,48,ENC,,Quad Mic ENC,72,"1,499",4.1
Aroma NB140,Aroma,55,Deep Bass,,Deep Bass,58,699,
Boult Z40,Boult,10,ENC,,Quad Mic ENC,60,"1,399",4.1
PTron Basspods,PTron,40,ANC ENC,ANC,ANC,85,449,3.9
Boult Astra,Boult,48,ENC,,Quad Mic ENC,83,899,
TOWST YO-TWS,TOWST,35,ANC,ANC,ANC,84,799,
Boult Astra,Boult,48,ENC,,Quad Mic ENC,65,"1,208",4.1
SONY WF-C700N,SONY,20,ANC,ANC,ANC,38,"7,990",4.1
PTron Basspods,PTron,40,ANC ENC,ANC,ANC,77,899,4.1
Boult Astra,Boult,48,ENC,,Quad Mic ENC,62,"1,299",3.7
Aroma NB140,Aroma,55,Deep Bass,,Deep Bass,80,493,4.1
Boult Z40,Boult,10,ENC,,Quad Mic ENC,72,"1,499",4
PTron Basspods,PTron,40,ANC ENC,ANC,ANC,77,899,3.9
Boult Astra,Boult,48,ENC,,Quad Mic ENC,60,"1,399",3.8
TOWST YO-TWS,TOWST,35,ANC,ANC,ANC,83,499,3.7
Boult Astra,Boult,48,ENC,,Quad Mic ENC,,,5
SONY WF-C700N,SONY,20,ANC,ANC,ANC,68,439,4
PTron Basspods,PTron,40,ANC ENC,ANC,ANC,80,599,4.1
Boult Astra,Boult,48,ENC,,Quad Mic ENC,84,799,4.7
Aroma NB140,Aroma,55,Deep Bass,,Deep Bass,77,899,
Boult Z40,Boult,10,ENC,,Quad Mic ENC,62,"1,299",
PTron Basspods,PTron,40,ANC ENC,ANC,ANC,58,"1,649",
Boult Astra,Boult,48,ENC,,Quad Mic ENC,72,"1,499",3.7
TOWST YO-TWS,TOWST,35,ANC,ANC,ANC,77,449,3.8
Boult Astra,Boult,48,ENC,,Quad Mic ENC,76,"1,199",3.5
SONY WF-C700N,SONY,20,ANC,ANC,ANC,,,
PTron Basspods,PTron,40,ANC ENC,ANC,ANC,86,459,
Boult Astra,Boult,48,ENC,,Quad Mic ENC,75,999,3.5
Aroma NB140,Aroma,55,Deep Bass,,Deep Bass,80,599,
Boult Z40,Boult,10,ENC,,Quad Mic ENC,84,799,
PTron Basspods,PTron,40,ANC ENC,ANC,ANC,78,"1,099",
Boult Astra,Boult,48,ENC,,Quad Mic ENC,62,"1,299",
TOWST YO-TWS,TOWST,35,ANC,ANC,ANC,76,599,3.5
Boult Astra,Boult,48,ENC,,Quad Mic ENC,83,899,3.7
SONY WF-C700N,SONY,20,ANC,ANC,ANC,84,799,4.1
PTron Basspods,PTron,40,ANC ENC,ANC,ANC,69,399,3.5
Boult Astra,Boult,48,ENC,,Quad Mic ENC,65,"1,208",3.8
Aroma NB140,Aroma,55,Deep Bass,,Deep Bass,86,459,4
Boult Z40,Boult,10,ENC,,Quad Mic ENC,75,999,3.7
PTron Basspods,PTron,40,ANC ENC,ANC,ANC,75,699,4
Boult Astra,Boult,48,ENC,,Quad Mic ENC,84,799,3.9
TOWST YO-TWS,TOWST,35,ANC,ANC,ANC,66,"1,349",3.5
Boult Astra,Boult,48,ENC,,Quad Mic ENC,60,"1,399",2
SONY WF-C700N,SONY,20,ANC,ANC,ANC,83,499,
PTron Basspods,PTron,40,ANC ENC,ANC,ANC,,,3.7
Boult Astra,Boult,48,ENC,,Quad Mic ENC,,,3.9
Aroma NB140,Aroma,55,Deep Bass,,Deep Bass,69,399,4.1
Boult Z40,Boult,10,ENC,,Quad Mic ENC,65,"1,208",3.8
PTron Basspods,PTron,40,ANC ENC,ANC,ANC,86,415,3.9
Boult Astra,Boult,48,ENC,,Quad Mic ENC,75,999,3.9
TOWST YO-TWS,TOWST,35,ANC,ANC,ANC,62,"1,499",3.5
Boult Astra,Boult,48,ENC,,Quad Mic ENC,72,"1,499",3.8
SONY WF-C700N,SONY,20,ANC,ANC,ANC,77,449,
PTron Basspods,PTron,40,ANC ENC,ANC,ANC,71,999,
Boult Astra,Boult,48,ENC,,Quad Mic ENC,76,"1,199",3.7
Aroma NB140,Aroma,55,Deep Bass,,Deep Bass,,,3.5
Boult Z40,Boult,10,ENC,,Quad Mic ENC,,,3.5
PTron Basspods,PTron,40,ANC ENC,ANC,ANC,,,4.1
Boult Astra,Boult,48,ENC,,Quad Mic ENC,65,"1,208",4
TOWST YO-TWS,TOWST,35,ANC,ANC,ANC,38,"7,990",4.1
Boult Astra,Boult,48,ENC,,Quad Mic ENC,62,"1,299",4.1
SONY WF-C700N,SONY,20,ANC,ANC,ANC,76,599,4
PTron Basspods,PTron,40,ANC ENC,ANC,ANC,77,899,3.8
Boult Astra,Boult,48,ENC,,Quad Mic ENC,83,899,5
Aroma NB140,Aroma,55,Deep Bass,,Deep Bass,71,999,1
Boult Z40,Boult,10,ENC,,Quad Mic ENC,76,"1,199",3.5
PTron Basspods,PTron,40,ANC ENC,ANC,ANC,81,999,4
Boult Astra,Boult,48,ENC,,Quad Mic ENC,,,1
TOWST YO-TWS,TOWST,35,ANC,ANC,ANC,68,439,3.8
Boult Astra,Boult,48,ENC,,Quad Mic ENC,84,799,
SONY WF-C700N,SONY,20,ANC,ANC,ANC,66,"1,349",4.1
PTron Basspods,PTron,40,ANC ENC,ANC,ANC,58,699,4.1
Boult Astra,Boult,48,ENC,,Quad Mic ENC,60,"1,399",3.8
Aroma NB140,Aroma,55,Deep Bass,,Deep Bass,77,899,4.1
Boult Z40,Boult,10,ENC,,Quad Mic ENC,83,899,3.5
PTron Basspods,PTron,40,ANC ENC,ANC,ANC,75,899,
